low;bas, à zéro;True
to lower;baisser;True
lower-case (character);(caractère) minuscule;False
mail;courrier;False
main;principal;True
mainframe;macroordinateur;True
mains;secteur (élec.);False
mainstream;courant, répandu, traditionnel;True
makeover;une refonte;True
manager;gestionnaire;True
managing director;directeur général;False
to manufacture;fabriquer;True
master reset;réinitialisation, initialisation programmée;False
maximum ratings;valeurs limites absolues;False
means;moyen, façon;True
to mend;réparer;True
to merge;fusionner;True
message;message;False
Metropolitan Area Network;réseau métropolitain;False
modulation;modulation;False
modulation rate;rapidité de modulation;False
to monitor;surveiller, contrôler;True
monitor;appareil de contrôle / moniteur / écran;True
motherboard;carte mère;True
to mount;monter, faire le montage de;False
multilayer;multicouche;False
multipoint connection;liaison multipoint;False
netiquette;les conventions sur internet;True
neither..., nor...;ni..., ni...;True
net list;description d'un schéma (composants+liaisons);False
network;réseau;True
networking;mise en réseau;False
newbie (noob);un novice (new in business);True
node;noeud;True
noise;bruit;True
non-disclosure agreement;clause de confidentialité;False
numeric keypad;clavier numérique;False
nut;écrou;False
to occur;se produire;True
odd;impair / étrange;True
off-line;autonome / non connecté;True
offset;décalage;False
off-the-shelf;du commerce, tout fait;True
one-way communication;mode de communication unidirectionnelle/unilatérale;False
to operate;(faire) fonctionner;True
operating system (OS);un système d'exploitation;True
operation;fonctionnement;True
output;sortie(s) / rendement;True
over-all;global;True
overflow;dépassement de capacité;True
overloading;surcharge (élec.);False
